game_date,game_pk,at_bat_number,pitch_number,pitcher,batter,balls,strikes,outs_when_up,inning,runner_1b,runner_2b,runner_3b,seq_pitch_type,seq_zone,lstm_top3_pitch_type,actual_pitch_type,actual_zone,actual_delta_run_exp,actual_description,actual_events,recommended_pitch_type,recommended_zone,recommended_pred_delta_run_exp,recommendation_source,recommendation_source_count,actual_action_pred_delta_run_exp,predicted_improvement_vs_actual_action,rec_1,rec_2,rec_3,rec_4,rec_5
2025-06-02,777670,71,3,593576,692225,2,0,0,8,0,0,0,PAD|PAD|PAD|FS|FF,ZPAD|ZPAD|ZPAD|Z14|Z3,FF|FS|SI,SL,Z9,-0.072,called_strike,,SI,Z6,-0.0500691669909789,count+action+zone,925,-0.0522640630270074,-0.0021948960360284,"SI/Z6:-0.0501(count+action+zone,n=925)","SI/Z3:-0.0485(count+action+zone,n=386)","FS/Z3:-0.0457(action+zone,n=263)","SI/Z9:-0.0434(count+action+zone,n=863)","SI/Z2:-0.0339(count+action+zone,n=584)"
2025-06-02,777670,71,4,593576,692225,2,1,0,8,0,0,0,PAD|PAD|FS|FF|SL,ZPAD|ZPAD|Z14|Z3|Z9,FS|FF|SI,FS,Z14,0.134,ball,,SI,Z3,-0.0554340630270074,count+action+zone,550,0.0045338062917303,0.0599678693187378,"SI/Z3:-0.0554(count+action+zone,n=550)","FS/Z3:-0.0457(action+zone,n=263)","FS/Z2:-0.0396(count+action+zone,n=39)","SI/Z6:-0.0320(count+action+zone,n=1121)","SI/Z2:-0.0296(count+action+zone,n=760)"
2025-06-02,777670,71,5,593576,692225,3,1,0,8,0,0,0,PAD|FS|FF|SL|FS,ZPAD|Z14|Z3|Z9|Z14,FF|SI|FS,SI,Z11,-0.439,hit_into_play,field_out,SI,Z2,-0.0711813759826379,count+action+zone,399,0.0092332889484708,0.0804146649311088,"SI/Z2:-0.0712(count+action+zone,n=399)","SI/Z6:-0.0654(count+action+zone,n=635)","SI/Z9:-0.0542(count+action+zone,n=582)","FS/Z3:-0.0457(action+zone,n=263)","SI/Z3:-0.0435(count+action+zone,n=293)"
2025-06-02,777670,72,2,593576,680776,0,1,1,8,0,0,0,PAD|PAD|PAD|PAD|FF,ZPAD|ZPAD|ZPAD|ZPAD|Z2,FS|FF|SI,FF,Z11,0.029,ball,,SI,Z9,-0.0351746940359644,count+action+zone,1624,0.0044828831404232,0.0396575771763876,"SI/Z9:-0.0352(count+action+zone,n=1624)","FF/Z3:-0.0287(pitcher+action+zone,n=40)","FF/Z6:-0.0235(pitcher+action+zone,n=47)","SI/Z3:-0.0230(count+action+zone,n=1020)","FS/Z3:-0.0208(count+action+zone,n=49)"
2025-06-02,777670,72,3,593576,680776,1,1,1,8,0,0,0,PAD|PAD|PAD|FF|FF,ZPAD|ZPAD|ZPAD|Z2|Z11,FS|FF|SI,FS,Z4,-0.064,foul,,FS,Z2,-0.0349815670230535,count+action+zone,89,-0.0133761020386744,0.021605464984379,"FS/Z2:-0.0350(count+action+zone,n=89)","SI/Z3:-0.0313(count+action+zone,n=772)","FF/Z3:-0.0287(pitcher+action+zone,n=40)","SI/Z2:-0.0273(count+action+zone,n=1223)","SI/Z5:-0.0206(pitcher+action+zone,n=18)"
2025-06-02,777670,72,4,593576,680776,1,2,1,8,0,0,0,PAD|PAD|FF|FF|FS,ZPAD|ZPAD|Z2|Z11|Z4,FS|FF|SI,FS,Z14,0.048,ball,,SI,Z9,-0.0505296575439374,count+action+zone,774,-0.0072169154847581,0.0433127420591792,"SI/Z9:-0.0505(count+action+zone,n=774)","FS/Z13:-0.0286(pitcher+count+action+zone,n=33)","FS/Z2:-0.0271(count+action+zone,n=66)","FF/Z5:-0.0271(pitcher+action+zone,n=81)","FS/Z3:-0.0247(count+action+zone,n=45)"
2025-06-02,777670,72,5,593576,680776,2,2,1,8,0,0,0,PAD|FF|FF|FS|FS,ZPAD|Z2|Z11|Z4|Z14,FS|FF|SI,FF,Z14,-0.228,swinging_strike,strikeout,SI,Z9,-0.0612270374312482,count+action+zone,987,0.0043607400665886,0.0655877774978369,"SI/Z9:-0.0612(count+action+zone,n=987)","SI/Z3:-0.0412(count+action+zone,n=785)","SI/Z2:-0.0286(count+action+zone,n=1081)","FF/Z7:-0.0236(pitcher+action+zone,n=35)","FF/Z6:-0.0235(pitcher+action+zone,n=47)"
2025-06-02,777670,73,2,593576,646240,0,1,2,8,0,0,0,PAD|PAD|PAD|PAD|FF,ZPAD|ZPAD|ZPAD|ZPAD|Z5,FS|FF|SI,FF,Z2,-0.217,hit_into_play,field_out,SI,Z9,-0.0351746940359644,count+action+zone,1624,-0.0067847272413404,0.028389966794624,"SI/Z9:-0.0352(count+action+zone,n=1624)","FF/Z3:-0.0287(pitcher+action+zone,n=40)","FF/Z6:-0.0235(pitcher+action+zone,n=47)","SI/Z3:-0.0230(count+action+zone,n=1020)","FS/Z3:-0.0208(count+action+zone,n=49)"
2025-06-02,777670,74,2,692285,621028,0,1,0,9,0,0,0,PAD|PAD|PAD|PAD|FF,ZPAD|ZPAD|ZPAD|ZPAD|Z8,ST|FF|FS,SL,Z5,-0.055,called_strike,,FS,Z9,-0.0337980655233615,count+action+zone,344,0.0306553578419579,0.0644534233653194,"FS/Z9:-0.0338(count+action+zone,n=344)","ST/Z3:-0.0324(count+action+zone,n=463)","ST/Z1:-0.0319(count+action+zone,n=340)","SL/Z3:-0.0279(count+action+zone,n=788)","FF/Z9:-0.0273(count+action+zone,n=1955)"
2025-06-02,777670,74,3,692285,621028,0,2,0,9,0,0,0,PAD|PAD|PAD|FF|SL,ZPAD|ZPAD|ZPAD|Z8|Z5,ST|FF|SL,SL,Z5,-0.165,hit_into_play,field_out,FF,Z7,-0.0424156019246296,count+action+zone,478,0.0570876408856446,0.0995032428102743,"FF/Z7:-0.0424(count+action+zone,n=478)","FF/Z9:-0.0367(count+action+zone,n=630)","ST/Z2:-0.0237(count+action+zone,n=189)","ST/Z9:-0.0186(count+action+zone,n=745)","ST/Z1:-0.0158(count+action+zone,n=163)"
2025-06-02,777670,75,2,692285,687263,0,1,1,9,0,0,0,PAD|PAD|PAD|PAD|SL,ZPAD|ZPAD|ZPAD|ZPAD|Z3,ST|FF|SL,ST,Z5,-0.052,called_strike,,ST,Z3,-0.0323673251777864,count+action+zone,463,0.0061391837881279,0.0385065089659143,"ST/Z3:-0.0324(count+action+zone,n=463)","ST/Z1:-0.0319(count+action+zone,n=340)","SL/Z3:-0.0279(count+action+zone,n=788)","FF/Z9:-0.0273(count+action+zone,n=1955)","SL/Z9:-0.0247(count+action+zone,n=2809)"
2025-06-02,777670,75,3,692285,687263,0,2,1,9,0,0,0,PAD|PAD|PAD|SL|ST,ZPAD|ZPAD|ZPAD|Z3|Z5,ST|FF|SL,FF,Z12,0.017,ball,,FF,Z7,-0.0424156019246296,count+action+zone,478,1.156437716858944e-05,0.0424271663017982,"FF/Z7:-0.0424(count+action+zone,n=478)","FF/Z9:-0.0367(count+action+zone,n=630)","ST/Z2:-0.0237(count+action+zone,n=189)","ST/Z9:-0.0186(count+action+zone,n=745)","ST/Z1:-0.0158(count+action+zone,n=163)"
2025-06-02,777670,75,4,692285,687263,1,2,1,9,0,0,0,PAD|PAD|SL|ST|FF,ZPAD|ZPAD|Z3|Z5|Z12,ST|FF|SL,SL,Z14,0.048,ball,,FF,Z9,-0.0301072806306199,count+action+zone,1054,0.0039771775205643,0.0340844581511843,"FF/Z9:-0.0301(count+action+zone,n=1054)","FF/Z7:-0.0291(count+action+zone,n=913)","SL/Z9:-0.0236(count+action+zone,n=2147)","ST/Z2:-0.0228(count+action+zone,n=288)","SL/Z3:-0.0200(count+action+zone,n=515)"
